file_path;file_id;curve_idx;kcanti;defl_sens;scan_size_x_y_m;map_size_x_y_pixels;z_at_setpoint;hertz_ind_geometry;hertz_tip_parameter;hertz_apply_BEC;hertz_BEC_model;hertz_fit_hline_on_baseline;hertz_delta0;hertz_E;hertz_f0;hertz_slope;hertz_poisson_ratio;hertz_sample_height;hertz_MAE;hertz_MSE;hertz_RMSE;hertz_Rsquared;hertz_chisq;hertz_redchi;hertz_z_c;hertz_max_ind;ting_ind_geometry;ting_tip_parameter;ting_modelFt;ting_apply_BEC;ting_BEC_model;ting_fit_hline_on_baseline;ting_t0;ting_E0;ting_tc;ting_betaE;ting_f0;ting_poisson_ratio;ting_vdrag;ting_smooth_w;ting_idx_tm;ting_MAE;ting_MSE;ting_RMSE;ting_Rsquared;ting_chisq;ting_redchi;ting_v0t_app_vel;ting_v0r_ret_vel
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;77;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.6433970140214E-06;paraboloid;0.000000032;False;;False;8.27346582322713E-08;5940236.20398845;-1.57000640671242E-11;;0.5;;-9.34154290393489E-20;6.36212961271336E-22;2.52232623042963E-11;0.950027279354038;2.46330965813024E-08;8.21103219376747E-09;9.48112415696201E-07;7.95919330699403E-09;paraboloid;0.000000032;analytical;False;;False;1;447711.966753217;-0.000531118211734957;0.0100980230771766;-1.06163670746726E-11;0.5;5,00E-07;5;158;6.48363624270902E-11;1.33901739037083E-19;3.65925865493385E-10;0.975491258432983;-3.46494074206489E-07;-8.66235185516224E-08;9.9290140571886E-05;9.7187357752441E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;78;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.6490265113333E-06;paraboloid;0.000000032;False;;False;7.89690735561767E-08;3516704.65457384;-1.19382021487707E-11;;0.5;;-2.05733864663672E-20;5.40439820780083E-22;2.32473615875024E-11;0.960510703169786;-2.06977109996754E-09;-6.8992369998918E-10;9.53836526408301E-07;1.14744920858573E-08;paraboloid;0.000000032;analytical;False;;False;1;453109.181310624;-0.000562702809948204;0.0100000294071285;-3.59945545786324E-11;0.5;5,00E-07;5;157;4.47083309216066E-11;1.63659475285764E-19;4.04548483232559E-10;0.967851591045735;2.78309757482117E-07;6.95774393705292E-08;9.9431587605185E-05;9.7198238293464E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;79;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.6595759054556E-06;paraboloid;0.000000032;False;;False;8.63270741109898E-08;3830713.78900372;-1.22111952820094E-11;;0.5;;-1.02362566641202E-19;9.21884195792555E-22;3.03625459372655E-11;0.923752255814342;1.88042746909814E-08;6.26809156366047E-09;9.70748671694051E-07;9.75977262736339E-09;paraboloid;0.000000032;analytical;False;;False;1;451056.946612565;-0.000562106012855218;0.0100000828345161;2.942234932161E-11;0.5;5,00E-07;5;157;8.99765391979725E-11;1.47003401258627E-19;3.83410225813849E-10;0.971961977928633;1.45954304889509E-07;3.64885762223772E-08;9.9371508096058E-05;9.7166542804397E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;80;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.6686114851747E-06;paraboloid;0.000000032;False;;False;8.15543512537686E-08;4447327.4118586;-7.05605644122011E-12;;0.5;;-1.08921784737425E-19;7.3502717511436E-22;2.71113846034163E-11;0.939692171197657;6.41460353545579E-09;2.13820117848526E-09;9.73255926799353E-07;9.50999131531204E-09;paraboloid;0.000000032;analytical;False;;False;1;451617.91870953;-0.000585628552267313;0.0100003120143717;4.27586012038073E-11;0.5;5,00E-07;5;157;1.00773071785556E-10;1.72873051472545E-19;4.15780051797275E-10;0.968466396470001;1.31247264292191E-07;3.28118160730478E-08;9.9410772657141E-05;9.7184992417436E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;81;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.6728690881837E-06;paraboloid;0.000000032;False;;False;9.03604697810898E-08;7955812.96235945;-5.47978217216645E-12;;0.5;;-2.26500652652015E-19;7.1671877186999E-22;2.67716038344734E-11;0.929935524922265;4.36102614768965E-09;1.45367538256322E-09;9.83592440771202E-07;6.11813619184435E-09;paraboloid;0.000000032;analytical;False;;False;1;421748.054171248;-0.000687241853833188;0.0100174844867463;5.77501202229578E-12;0.5;5,00E-07;5;156;8.37217507893941E-11;2.31973067289236E-19;4.81635824341624E-10;0.954380650061296;7.59275787449637E-07;1.89818946862409E-07;9.9446252682216E-05;9.7175531077416E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;82;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.6846011498085E-06;paraboloid;0.000000032;False;;False;8.30586000395408E-08;7045045.19980797;-9.64023888913801E-12;;0.5;;-7.51386995049902E-20;9.01012737614181E-22;3.00168742145844E-11;0.921828340595909;1.18768799593188E-08;3.95895998643959E-09;9.88583297631751E-07;6.70745952451036E-09;paraboloid;0.000000032;analytical;False;;False;1;469776.986198508;-0.00055079420613025;0.0111295519755249;1.15159269504694E-10;0.5;5,00E-07;5;157;1.64675516070155E-10;1.95130933875641E-19;4.4173627185872E-10;0.968217235652254;-3.4175201170825E-08;-8.54380029270625E-09;9.9369615828054E-05;9.7179315613424E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;83;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.6931163558265E-06;paraboloid;0.000000032;False;;False;8.93466842936476E-08;575637.770588479;-1.01562456128326E-11;;0.5;;-5.18424165963447E-20;5.89067233440071E-22;2.42707073123152E-11;0.973447070496876;3.14656420458046E-09;1.04885473486015E-09;1.033169862476E-06;3.79653701903407E-08;paraboloid;0.000000032;analytical;False;;False;1;431222.993295634;-0.000328863268696593;0.0100000000034352;-6.10931126790642E-11;0.5;5,00E-07;5;161;2.74008304178153E-11;1.24429498291059E-19;3.52745656657965E-10;0.973642120354446;3.15361968533932E-08;7.8840492133483E-09;9.9420707064162E-05;9.7202022829472E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;84;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.7018207886449E-06;paraboloid;0.000000032;False;;False;8.21352821623984E-08;5136850.16057511;-1.23124705284502E-11;;0.5;;-3.14924856475107E-19;5.81188544762022E-22;2.41078523465286E-11;0.95488664930871;7.08756993306929E-09;2.3625233110231E-09;1.0069146439205E-06;9.07090925562563E-09;paraboloid;0.000000032;analytical;False;;False;1;432733.680092092;-0.000581495086975241;0.0100000002568241;8.33061675281686E-13;0.5;5,00E-07;5;157;7.05487870401092E-11;1.46745828920184E-19;3.83074182006807E-10;0.969926316353344;2.98671493881665E-07;7.46678734704163E-08;9.9404622786128E-05;9.7190669221448E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;85;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.7205069351844E-06;paraboloid;0.000000032;False;;False;8.49822012403318E-08;9863967.64931608;-6.1425797703019E-12;;0.5;;-4.24450482122274E-19;6.55562667835706E-22;2.56039580501864E-11;0.940736243525937;6.35360151612136E-09;2.11786717204045E-09;1.02477292320825E-06;5.76178690290418E-09;paraboloid;0.000000032;analytical;False;;False;1;489085.028379826;-0.000533597015104206;0.010973641037746;2.73870343999238E-11;0.5;5,00E-07;5;157;1.14132330409316E-10;1.76810761690594E-19;4.20488717673368E-10;0.969521102045821;2.10487881043766E-06;5.26219702609415E-07;9.9300548045908E-05;9.7188776953444E-05
C:/Users/rlolo/Documents/Thèse/MEB et AFM/AFM/Résultats AFM Dynamo/06062025/Plaque hydrophobique_ethanol_PEI 0.5_Incubation 1h/cell2/force mapp/map-data-2025.06.06-11.56.16.356.jpk-force-map;map-data-2025.06.06-11.56.16.356.jpk-force-map;86;0.142;7.801310208055;[2.5e-05, 2.5e-05];[32, 32];5.7352193189155E-06;paraboloid;0.000000032;False;;False;8.34073602527431E-08;6608748.52146891;-5.98320549762364E-12;;0.5;;-2.01718076587649E-19;5.89629801880075E-22;2.42822939995396E-11;0.950929348439036;6.48845802402935E-09;2.16281934134312E-09;1.0394143468892E-06;7.44025849477222E-09;paraboloid;0.000000032;analytical;False;;False;1;446631.829832381;-0.000640317447156794;0.0100003509091661;5.2760170752205E-11;0.5;5,00E-07;5;156;7.33417622080189E-11;2.00783409642191E-19;4.48088618068112E-10;0.960492411564111;1.64094400306848E-07;4.1023600076712E-08;9.9359208354032E-05;9.719634602546E-05
