Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Area [J]	Lower Bound [m]	Upper Bound [m]
map-data-2025.06.06-11.56.16.356_0653.jpk-force	653	5.44936e-06	1.84917e-05	2.42579e-09		3.37944e-10	-3.37944e-10	1.14055e-05	6.07405e-16	1.10047e-05	1.57859e-05
map-data-2025.06.06-11.56.16.356_0654.jpk-force	654	6.23061e-06	1.84917e-05	2.44034e-09		3.81308e-10	-3.81308e-10	1.21589e-05	5.17754e-16	1.21147e-05	1.60835e-05
map-data-2025.06.06-11.56.16.356_0655.jpk-force	655	7.01186e-06	1.84917e-05	2.43922e-09		2.02203e-10	-2.02203e-10	1.46700e-05	4.69025e-16	1.22924e-05	1.61477e-05
map-data-2025.06.06-11.56.16.356_0656.jpk-force	656	7.79311e-06	1.84917e-05	2.44162e-09		4.02772e-10	-4.02772e-10	1.25956e-05	4.70294e-16	1.24556e-05	1.61773e-05
map-data-2025.06.06-11.56.16.356_0657.jpk-force	657	8.57436e-06	1.84917e-05	2.44767e-09		2.78459e-10	-2.78459e-10	1.30044e-05	4.32557e-16	1.27292e-05	1.62002e-05
map-data-2025.06.06-11.56.16.356_0658.jpk-force	658	9.35561e-06	1.84917e-05	2.45432e-09		1.15995e-09	-1.15995e-09	1.31532e-05	4.62151e-16	1.29006e-05	1.62170e-05
map-data-2025.06.06-11.56.16.356_0659.jpk-force	659	1.01369e-05	1.84917e-05	2.44868e-09		4.84706e-10	-4.84706e-10	1.30955e-05	4.16035e-16	1.29507e-05	1.62304e-05
map-data-2025.06.06-11.56.16.356_0660.jpk-force	660	1.09181e-05	1.84917e-05	2.44573e-09		3.11899e-10	-3.11899e-10	1.33473e-05	4.10740e-16	1.29812e-05	1.62408e-05
map-data-2025.06.06-11.56.16.356_0661.jpk-force	661	1.16994e-05	1.84917e-05	2.44486e-09		3.04220e-10	-3.04220e-10	1.30665e-05	3.95222e-16	1.29816e-05	1.62481e-05
map-data-2025.06.06-11.56.16.356_0662.jpk-force	662	1.24806e-05	1.84917e-05	2.44356e-09		2.00038e-10	-2.00038e-10	1.31120e-05	3.82790e-16	1.30141e-05	1.62551e-05
map-data-2025.06.06-11.56.16.356_0663.jpk-force	663	1.32619e-05	1.84917e-05	2.44628e-09		4.04799e-10	-4.04799e-10	1.31126e-05	4.59600e-16	1.29139e-05	1.62588e-05
map-data-2025.06.06-11.56.16.356_0664.jpk-force	664	1.40431e-05	1.84917e-05	2.44888e-09		3.57951e-10	-3.57951e-10	1.30564e-05	4.33911e-16	1.28036e-05	1.62610e-05
map-data-2025.06.06-11.56.16.356_0665.jpk-force	665	1.48244e-05	1.84917e-05	2.45428e-09		4.38219e-10	-4.38219e-10	1.28999e-05	4.72169e-16	1.26577e-05	1.62626e-05
map-data-2025.06.06-11.56.16.356_0666.jpk-force	666	1.56056e-05	1.84917e-05	2.45685e-09		6.46852e-10	-6.46852e-10	1.28116e-05	4.92782e-16	1.25149e-05	1.62630e-05
map-data-2025.06.06-11.56.16.356_0667.jpk-force	667	1.63869e-05	1.84917e-05	2.45431e-09		4.46055e-10	-4.46055e-10	1.23232e-05	5.47934e-16	1.22167e-05	1.62601e-05
map-data-2025.06.06-11.56.16.356_0668.jpk-force	668	1.71681e-05	1.84917e-05	2.44518e-09		2.61058e-10	-2.61058e-10	1.18119e-05	5.67091e-16	1.17419e-05	1.62516e-05
map-data-2025.06.06-11.56.16.356_0669.jpk-force	669	1.79494e-05	1.84917e-05	2.45090e-09		6.50364e-10	-6.50364e-10	1.11142e-05	6.95994e-16	1.09685e-05	1.57999e-05
map-data-2025.06.06-11.56.16.356_0670.jpk-force	670	1.87306e-05	1.84917e-05	2.44246e-09		1.11432e-09	-1.11432e-09	1.02126e-05	7.66602e-16	1.00737e-05	1.49008e-05
map-data-2025.06.06-11.56.16.356_0671.jpk-force	671	1.95119e-05	1.84917e-05	2.42580e-09		4.34277e-09	-4.34277e-09	8.56007e-06	4.49096e-15	7.87942e-06	1.06686e-05
map-data-2025.06.06-11.56.16.356_0672.jpk-force	672	1.95119e-05	1.92730e-05	2.41251e-09		7.82951e-09	-7.82951e-09	8.56080e-06	1.26633e-14	6.29169e-06	9.13392e-06
map-data-2025.06.06-11.56.16.356_0673.jpk-force	673	1.87306e-05	1.92730e-05	2.39963e-09		2.72594e-09	-2.72594e-09	8.85609e-06	3.14008e-15	7.90556e-06	1.01399e-05
map-data-2025.06.06-11.56.16.356_0674.jpk-force	674	1.79494e-05	1.92730e-05	2.41907e-09		7.65916e-10	-7.65916e-10	9.89073e-06	6.25368e-16	9.87413e-06	1.47281e-05
map-data-2025.06.06-11.56.16.356_0675.jpk-force	675	1.71681e-05	1.92730e-05	2.43701e-09		3.59842e-10	-3.59842e-10	1.11204e-05	5.64148e-16	1.10152e-05	1.57808e-05
map-data-2025.06.06-11.56.16.356_0676.jpk-force	676	1.63869e-05	1.92730e-05	2.45701e-09		3.24999e-10	-3.24999e-10	1.17049e-05	5.90506e-16	1.15843e-05	1.61401e-05
map-data-2025.06.06-11.56.16.356_0677.jpk-force	677	1.56056e-05	1.92730e-05	2.46032e-09		2.98398e-10	-2.98398e-10	1.20290e-05	5.42452e-16	1.19942e-05	1.61929e-05
map-data-2025.06.06-11.56.16.356_0678.jpk-force	678	1.48244e-05	1.92730e-05	2.46478e-09		2.84366e-10	-2.84366e-10	1.26673e-05	4.88706e-16	1.23405e-05	1.62174e-05
map-data-2025.06.06-11.56.16.356_0679.jpk-force	679	1.40431e-05	1.92730e-05	2.46709e-09		6.35801e-10	-6.35801e-10	1.29114e-05	4.73470e-16	1.26073e-05	1.62330e-05
map-data-2025.06.06-11.56.16.356_0680.jpk-force	680	1.32619e-05	1.92730e-05	2.46638e-09		3.63139e-10	-3.63139e-10	1.32587e-05	4.25644e-16	1.29883e-05	1.62467e-05
map-data-2025.06.06-11.56.16.356_0681.jpk-force	681	1.24806e-05	1.92730e-05	2.46732e-09		1.97073e-10	-1.97073e-10	1.29302e-05	4.22582e-16	1.28064e-05	1.62551e-05
map-data-2025.06.06-11.56.16.356_0682.jpk-force	682	1.16994e-05	1.92730e-05	2.46762e-09		2.50209e-10	-2.50209e-10	1.29869e-05	4.27777e-16	1.28330e-05	1.62620e-05
map-data-2025.06.06-11.56.16.356_0683.jpk-force	683	1.09181e-05	1.92730e-05	2.46604e-09		4.82327e-10	-4.82327e-10	1.30377e-05	4.25284e-16	1.28850e-05	1.62677e-05
map-data-2025.06.06-11.56.16.356_0684.jpk-force	684	1.01369e-05	1.92730e-05	2.46892e-09		4.60526e-10	-4.60526e-10	1.30624e-05	4.20901e-16	1.29338e-05	1.62725e-05
map-data-2025.06.06-11.56.16.356_0685.jpk-force	685	9.35561e-06	1.92730e-05	2.47240e-09		5.31373e-10	-5.31373e-10	1.30255e-05	4.65603e-16	1.28913e-05	1.62749e-05
map-data-2025.06.06-11.56.16.356_0686.jpk-force	686	8.57436e-06	1.92730e-05	2.47262e-09		4.74834e-10	-4.74834e-10	1.30138e-05	4.60081e-16	1.27561e-05	1.62756e-05
map-data-2025.06.06-11.56.16.356_0687.jpk-force	687	7.79311e-06	1.92730e-05	2.47292e-09		2.87251e-10	-2.87251e-10	1.26986e-05	4.50460e-16	1.25941e-05	1.62774e-05
map-data-2025.06.06-11.56.16.356_0688.jpk-force	688	7.01186e-06	1.92730e-05	2.47641e-09		2.43180e-10	-2.43180e-10	1.26275e-05	4.69866e-16	1.24832e-05	1.62764e-05
map-data-2025.06.06-11.56.16.356_0689.jpk-force	689	6.23061e-06	1.92730e-05	2.48018e-09		5.18822e-10	-5.18822e-10	1.19387e-05	6.44959e-16	1.16319e-05	1.62594e-05
map-data-2025.06.06-11.56.16.356_0690.jpk-force	690	5.44936e-06	1.92730e-05	2.48272e-09		3.36585e-10	-3.36585e-10	1.17940e-05	6.11961e-16	1.16217e-05	1.62603e-05
map-data-2025.06.06-11.56.16.356_0691.jpk-force	691	4.66811e-06	1.92730e-05	2.48694e-09		3.81619e-10	-3.81619e-10	1.17707e-05	6.48536e-16	1.14776e-05	1.61878e-05
map-data-2025.06.06-11.56.16.356_0692.jpk-force	692	3.88686e-06	1.92730e-05	2.47923e-09		7.98031e-10	-7.98031e-10	1.15852e-05	1.04846e-15	9.96387e-06	1.47855e-05
map-data-2025.06.06-11.56.16.356_0693.jpk-force	693	3.10561e-06	1.92730e-05	2.46888e-09		5.66920e-10	-5.66920e-10	9.89133e-06	1.07791e-15	8.53261e-06	1.31828e-05
map-data-2025.06.06-11.56.16.356_0694.jpk-force	694	2.32436e-06	1.92730e-05	2.45363e-09		8.51140e-10	-8.51140e-10	8.95406e-06	1.39494e-15	7.14032e-06	1.18905e-05
map-data-2025.06.06-11.56.16.356_0695.jpk-force	695	1.54311e-06	1.92730e-05	2.42368e-09		3.24464e-10	-3.24464e-10	6.20580e-06	8.23360e-16	3.00463e-06	7.79644e-06
map-data-2025.06.06-11.56.16.356_0696.jpk-force	696	7.61859e-07	1.92730e-05	2.41088e-09		2.92279e-10	-2.92279e-10	4.14094e-06	7.08225e-16	2.86086e-06	7.62153e-06
map-data-2025.06.06-11.56.16.356_0697.jpk-force	697	-1.93924e-08	1.92730e-05	2.40163e-09		1.23634e-09	-1.23634e-09	2.18457e-06	7.42536e-16	1.97715e-06	6.68064e-06
map-data-2025.06.06-11.56.16.356_0698.jpk-force	698	-8.00641e-07	1.92730e-05	2.38951e-09		2.22783e-10	-2.22783e-10	3.63688e-06	6.75510e-16	8.85999e-07	5.69879e-06
map-data-2025.06.06-11.56.16.356_0699.jpk-force	699	-1.58189e-06	1.92730e-05	2.38164e-09		2.13248e-10	-2.13248e-10	2.37559e-06	6.16982e-16	1.09689e-06	5.68616e-06
map-data-2025.06.06-11.56.16.356_0700.jpk-force	700	-2.36314e-06	1.92730e-05	2.38371e-09		2.35129e-10	-2.35129e-10	2.10221e-06	6.72587e-16	8.81126e-07	5.66714e-06
map-data-2025.06.06-11.56.16.356_0701.jpk-force	701	-3.14439e-06	1.92730e-05	2.38312e-09		2.85029e-10	-2.85029e-10	8.65184e-07	6.68597e-16	8.56669e-07	5.64865e-06
map-data-2025.06.06-11.56.16.356_0702.jpk-force	702	-3.92564e-06	1.92730e-05	2.38267e-09		2.31698e-10	-2.31698e-10	8.62274e-07	6.50776e-16	8.34789e-07	5.62566e-06
map-data-2025.06.06-11.56.16.356_0703.jpk-force	703	-4.70689e-06	1.92730e-05	2.38613e-09		2.44709e-10	-2.44709e-10	8.56503e-07	7.00829e-16	8.25659e-07	5.62071e-06
map-data-2025.06.06-11.56.16.356_0704.jpk-force	704	-4.70689e-06	2.00542e-05	2.38450e-09		3.09156e-10	-3.09156e-10	8.55510e-07	6.98383e-16	8.43754e-07	5.63519e-06
map-data-2025.06.06-11.56.16.356_0705.jpk-force	705	-3.92564e-06	2.00542e-05	2.38737e-09		2.29323e-10	-2.29323e-10	2.07283e-06	6.97895e-16	8.44558e-07	5.63294e-06
map-data-2025.06.06-11.56.16.356_0706.jpk-force	706	-3.14439e-06	2.00542e-05	2.38202e-09		4.47449e-10	-4.47449e-10	9.06341e-07	7.01100e-16	8.61778e-07	5.66047e-06
map-data-2025.06.06-11.56.16.356_0707.jpk-force	707	-2.36314e-06	2.00542e-05	2.38300e-09		3.07166e-10	-3.07166e-10	9.11828e-07	6.61496e-16	8.81930e-07	5.67339e-06
map-data-2025.06.06-11.56.16.356_0708.jpk-force	708	-1.58189e-06	2.00542e-05	2.38473e-09		2.35744e-10	-2.35744e-10	1.07170e-06	6.66942e-16	8.94419e-07	5.69397e-06
map-data-2025.06.06-11.56.16.356_0709.jpk-force	709	-8.00641e-07	2.00542e-05	2.38709e-09		5.48835e-10	-5.48835e-10	9.35765e-07	7.19166e-16	9.06624e-07	5.70012e-06
map-data-2025.06.06-11.56.16.356_0710.jpk-force	710	-1.93924e-08	2.00542e-05	2.38399e-09		4.53338e-09	-4.53338e-09	3.71305e-06	7.88920e-15	9.03408e-07	5.69368e-06
map-data-2025.06.06-11.56.16.356_0711.jpk-force	711	7.61859e-07	2.00542e-05	2.38508e-09		4.47909e-10	-4.47909e-10	3.41906e-06	6.09725e-16	3.36896e-06	8.15129e-06
map-data-2025.06.06-11.56.16.356_0712.jpk-force	712	1.54311e-06	2.00542e-05	2.40742e-09		1.20390e-09	-1.20390e-09	3.43330e-06	7.40173e-16	3.41014e-06	8.21348e-06
map-data-2025.06.06-11.56.16.356_0713.jpk-force	713	2.32436e-06	2.00542e-05	2.44328e-09		5.79773e-09	-5.79773e-09	9.09106e-06	1.42781e-14	4.36077e-06	9.13685e-06
map-data-2025.06.06-11.56.16.356_0714.jpk-force	714	3.10561e-06	2.00542e-05	-2.02893e-09		1.93521e-09	-1.93521e-09	9.69375e-06	8.30190e-16	9.28776e-06	9.97135e-06
map-data-2025.06.06-11.56.16.356_0715.jpk-force	715	3.88686e-06	2.00542e-05	2.24560e-09		-1.32712e-11	1.32712e-11	1.09295e-05			
map-data-2025.06.06-11.56.16.356_0716.jpk-force	716	4.66811e-06	2.00542e-05	2.47777e-09		4.87499e-10	-4.87499e-10	1.14617e-05	6.69718e-16	1.12647e-05	1.60041e-05
map-data-2025.06.06-11.56.16.356_0717.jpk-force	717	5.44936e-06	2.00542e-05	2.48587e-09		9.01368e-10	-9.01368e-10	1.19174e-05	5.37149e-16	1.18628e-05	1.61091e-05
map-data-2025.06.06-11.56.16.356_0718.jpk-force	718	6.23061e-06	2.00542e-05	2.49520e-09		2.23511e-10	-2.23511e-10	1.19391e-05	5.46926e-16	1.18648e-05	1.61525e-05
map-data-2025.06.06-11.56.16.356_0719.jpk-force	719	7.01186e-06	2.00542e-05	2.49726e-09		3.98436e-10	-3.98436e-10	1.19033e-05	5.63840e-16	1.17779e-05	1.61757e-05
map-data-2025.06.06-11.56.16.356_0720.jpk-force	720	7.79311e-06	2.00542e-05	2.49970e-09		3.93859e-10	-3.93859e-10	1.27564e-05	4.50360e-16	1.27026e-05	1.62050e-05
map-data-2025.06.06-11.56.16.356_0721.jpk-force	721	8.57436e-06	2.00542e-05	2.49849e-09		2.21933e-10	-2.21933e-10	1.28431e-05	4.11483e-16	1.27622e-05	1.62221e-05
map-data-2025.06.06-11.56.16.356_0722.jpk-force	722	9.35561e-06	2.00542e-05	2.50435e-09		4.83885e-10	-4.83885e-10	1.30725e-05	4.56420e-16	1.28435e-05	1.62327e-05
map-data-2025.06.06-11.56.16.356_0723.jpk-force	723	1.01369e-05	2.00542e-05	2.50156e-09		2.28269e-09	-2.28269e-09	1.30732e-05	3.83671e-16	1.30770e-05	1.62428e-05
map-data-2025.06.06-11.56.16.356_0724.jpk-force	724	1.09181e-05	2.00542e-05	2.50058e-09		3.74839e-10	-3.74839e-10	1.28706e-05	4.31527e-16	1.27451e-05	1.62487e-05
map-data-2025.06.06-11.56.16.356_0725.jpk-force	725	1.16994e-05	2.00542e-05	2.50384e-09		3.02033e-10	-3.02033e-10	1.29762e-05	4.31681e-16	1.28062e-05	1.62543e-05
map-data-2025.06.06-11.56.16.356_0726.jpk-force	726	1.24806e-05	2.00542e-05	2.50379e-09		3.53840e-10	-3.53840e-10	1.26780e-05	4.66195e-16	1.26103e-05	1.62582e-05
map-data-2025.06.06-11.56.16.356_0727.jpk-force	727	1.32619e-05	2.00542e-05	2.50246e-09		2.81623e-10	-2.81623e-10	1.32024e-05	4.05015e-16	1.29577e-05	1.62665e-05
map-data-2025.06.06-11.56.16.356_0728.jpk-force	728	1.40431e-05	2.00542e-05	2.50333e-09		3.52305e-10	-3.52305e-10	1.24827e-05	5.19715e-16	1.22842e-05	1.62586e-05
map-data-2025.06.06-11.56.16.356_0729.jpk-force	729	1.48244e-05	2.00542e-05	2.50840e-09		6.57726e-10	-6.57726e-10	1.22630e-05	5.97441e-16	1.19809e-05	1.62543e-05
map-data-2025.06.06-11.56.16.356_0730.jpk-force	730	1.56056e-05	2.00542e-05	2.50684e-09		2.71080e-10	-2.71080e-10	1.15898e-05	6.27870e-16	1.14281e-05	1.62125e-05
map-data-2025.06.06-11.56.16.356_0731.jpk-force	731	1.63869e-05	2.00542e-05	2.50311e-09		6.55042e-10	-6.55042e-10	1.11521e-05	7.14174e-16	1.06984e-05	1.55172e-05
map-data-2025.06.06-11.56.16.356_0732.jpk-force	732	1.71681e-05	2.00542e-05	2.49890e-09		4.94615e-10	-4.94615e-10	9.85712e-06	6.94900e-16	9.62007e-06	1.44243e-05
map-data-2025.06.06-11.56.16.356_0733.jpk-force	733	1.79494e-05	2.00542e-05	2.47819e-09		5.48000e-09	-5.48000e-09	8.12090e-06	2.27178e-15	7.45122e-06	1.23015e-05
map-data-2025.06.06-11.56.16.356_0734.jpk-force	734	1.87306e-05	2.00542e-05	2.45676e-09		2.69234e-09	-2.69234e-09	6.18520e-06	3.25088e-15	5.58516e-06	7.91606e-06
map-data-2025.06.06-11.56.16.356_0735.jpk-force	735	1.95119e-05	2.00542e-05	2.42424e-09		4.29229e-09	-4.29229e-09	5.92345e-06	2.84697e-15	1.16894e-06	5.97942e-06
map-data-2025.06.06-11.56.16.356_0736.jpk-force	736	1.95119e-05	2.08355e-05	2.32971e-09		4.64784e-10	-4.64784e-10	5.96608e-06	3.89601e-16	1.36815e-06	5.98429e-06
map-data-2025.06.06-11.56.16.356_0737.jpk-force	737	1.87306e-05	2.08355e-05	2.41432e-09		3.32243e-10	-3.32243e-10	1.17386e-06	6.90054e-16	1.16478e-06	5.96158e-06
map-data-2025.06.06-11.56.16.356_0738.jpk-force	738	1.79494e-05	2.08355e-05	2.50638e-09		6.89016e-09	-6.89016e-09	7.15127e-06	4.51774e-15	4.30724e-06	7.17843e-06
map-data-2025.06.06-11.56.16.356_0739.jpk-force	739	1.71681e-05	2.08355e-05	2.43669e-09		1.01331e-09	-1.01331e-09	7.71555e-06	9.47980e-16	7.37184e-06	1.21964e-05
map-data-2025.06.06-11.56.16.356_0740.jpk-force	740	1.63869e-05	2.08355e-05	2.46864e-09		6.10591e-10	-6.10591e-10	1.00993e-05	6.50812e-16	9.67804e-06	1.44053e-05
map-data-2025.06.06-11.56.16.356_0741.jpk-force	741	1.56056e-05	2.08355e-05	2.49318e-09		6.10401e-10	-6.10401e-10	1.08509e-05	6.77111e-16	1.05787e-05	1.54261e-05
map-data-2025.06.06-11.56.16.356_0742.jpk-force	742	1.48244e-05	2.08355e-05	2.49969e-09		3.88379e-10	-3.88379e-10	1.15030e-05	6.20171e-16	1.13255e-05	1.60389e-05
map-data-2025.06.06-11.56.16.356_0743.jpk-force	743	1.40431e-05	2.08355e-05	2.50208e-09		2.62124e-10	-2.62124e-10	1.19093e-05	5.10069e-16	1.18173e-05	1.61286e-05
map-data-2025.06.06-11.56.16.356_0744.jpk-force	744	1.32619e-05	2.08355e-05	2.51089e-09		3.35060e-10	-3.35060e-10	1.23193e-05	4.80294e-16	1.22137e-05	1.61701e-05
map-data-2025.06.06-11.56.16.356_0745.jpk-force	745	1.24806e-05	2.08355e-05	2.51599e-09		4.74003e-10	-4.74003e-10	1.26639e-05	5.04269e-16	1.24293e-05	1.61959e-05
map-data-2025.06.06-11.56.16.356_0746.jpk-force	746	1.16994e-05	2.08355e-05	2.51998e-09		4.13964e-10	-4.13964e-10	1.28844e-05	5.09232e-16	1.25516e-05	1.62127e-05
map-data-2025.06.06-11.56.16.356_0747.jpk-force	747	1.09181e-05	2.08355e-05	2.52386e-09		4.40053e-10	-4.40053e-10	1.27454e-05	4.73957e-16	1.26394e-05	1.62253e-05
map-data-2025.06.06-11.56.16.356_0748.jpk-force	748	1.01369e-05	2.08355e-05	2.52070e-09		2.95675e-10	-2.95675e-10	1.29442e-05	4.22373e-16	1.27020e-05	1.62335e-05
map-data-2025.06.06-11.56.16.356_0749.jpk-force	749	9.35561e-06	2.08355e-05	2.52841e-09		2.02381e-10	-2.02381e-10	1.35834e-05	4.38046e-16	1.26909e-05	1.62428e-05
map-data-2025.06.06-11.56.16.356_0750.jpk-force	750	8.57436e-06	2.08355e-05	2.53022e-09		5.26255e-10	-5.26255e-10	1.27355e-05	4.29223e-16	1.26906e-05	1.62486e-05
map-data-2025.06.06-11.56.16.356_0751.jpk-force	751	7.79311e-06	2.08355e-05	2.53405e-09		2.49300e-10	-2.49300e-10	1.20529e-05	5.61539e-16	1.19030e-05	1.62386e-05
map-data-2025.06.06-11.56.16.356_0752.jpk-force	752	7.01186e-06	2.08355e-05	2.53600e-09		2.07667e-10	-2.07667e-10	1.24162e-05	5.44139e-16	1.20088e-05	1.62416e-05
map-data-2025.06.06-11.56.16.356_0753.jpk-force	753	6.23061e-06	2.08355e-05	2.53592e-09		3.10510e-10	-3.10510e-10	1.21725e-05	5.25960e-16	1.21302e-05	1.62484e-05
map-data-2025.06.06-11.56.16.356_0754.jpk-force	754	5.44936e-06	2.08355e-05	2.53675e-09		4.03644e-10	-4.03644e-10	1.26980e-05	5.53916e-16	1.20915e-05	1.62508e-05
map-data-2025.06.06-11.56.16.356_0755.jpk-force	755	4.66811e-06	2.08355e-05	2.53636e-09		8.62419e-10	-8.62419e-10	1.15612e-05	6.45535e-16	1.15356e-05	1.62456e-05
map-data-2025.06.06-11.56.16.356_0756.jpk-force	756	3.88686e-06	2.08355e-05	2.52456e-09		2.17672e-09	-2.17672e-09	9.85923e-06	2.25718e-15	8.82756e-06	1.35739e-05
map-data-2025.06.06-11.56.16.356_0757.jpk-force	757	3.10561e-06	2.08355e-05	2.50872e-09		6.44195e-10	-6.44195e-10	7.88046e-06	7.45292e-16	7.58174e-06	1.23729e-05
map-data-2025.06.06-11.56.16.356_0758.jpk-force	758	2.32436e-06	2.08355e-05	2.49549e-09		3.41823e-09	-3.41823e-09	6.76471e-06	6.06857e-16	6.77360e-06	1.09602e-05
map-data-2025.06.06-11.56.16.356_0759.jpk-force	759	1.54311e-06	2.08355e-05	2.48194e-09		4.85662e-10	-4.85662e-10	4.89515e-06	6.80141e-16	4.84718e-06	9.66830e-06
map-data-2025.06.06-11.56.16.356_0760.jpk-force	760	7.61859e-07	2.08355e-05	2.46004e-09		1.57334e-09	-1.57334e-09	3.65547e-06	1.36556e-15	2.68621e-06	7.51835e-06
map-data-2025.06.06-11.56.16.356_0761.jpk-force	761	-1.93924e-08	2.08355e-05	2.44203e-09		5.74048e-10	-5.74048e-10	1.99354e-06	8.71289e-16	9.19870e-07	5.72964e-06
map-data-2025.06.06-11.56.16.356_0762.jpk-force	762	-8.00641e-07	2.08355e-05	2.43157e-09		3.67329e-10	-3.67329e-10	9.31129e-07	6.76998e-16	9.23844e-07	5.72178e-06
map-data-2025.06.06-11.56.16.356_0763.jpk-force	763	-1.58189e-06	2.08355e-05	2.43175e-09		3.22252e-10	-3.22252e-10	9.58804e-07	6.65512e-16	9.19161e-07	5.71407e-06
map-data-2025.06.06-11.56.16.356_0764.jpk-force	764	-2.36314e-06	2.08355e-05	2.43097e-09		2.79670e-10	-2.79670e-10	9.32052e-07	6.77844e-16	9.01066e-07	5.69446e-06
map-data-2025.06.06-11.56.16.356_0765.jpk-force	765	-3.14439e-06	2.08355e-05	2.43243e-09		3.32887e-10	-3.32887e-10	9.56367e-07	7.00966e-16	8.92527e-07	5.68659e-06
map-data-2025.06.06-11.56.16.356_0766.jpk-force	766	-3.92564e-06	2.08355e-05	2.42714e-09		2.70982e-10	-2.70982e-10	9.18877e-07	6.74440e-16	8.68069e-07	5.65917e-06
map-data-2025.06.06-11.56.16.356_0767.jpk-force	767	-4.70689e-06	2.08355e-05	2.42794e-09		3.64457e-10	-3.64457e-10	8.90067e-07	6.86713e-16	8.63362e-07	5.65671e-06
map-data-2025.06.06-11.56.16.356_0768.jpk-force	768	-4.70689e-06	2.16167e-05	2.42934e-09		2.67139e-10	-2.67139e-10	1.04145e-06	6.73909e-16	8.81647e-07	5.66927e-06
map-data-2025.06.06-11.56.16.356_0769.jpk-force	769	-3.92564e-06	2.16167e-05	2.43353e-09		2.68508e-10	-2.68508e-10	9.29426e-07	6.78019e-16	8.77105e-07	5.66440e-06
map-data-2025.06.06-11.56.16.356_0770.jpk-force	770	-3.14439e-06	2.16167e-05	2.43287e-09		4.18687e-10	-4.18687e-10	9.03573e-07	6.81810e-16	8.93308e-07	5.68224e-06
map-data-2025.06.06-11.56.16.356_0771.jpk-force	771	-2.36314e-06	2.16167e-05	2.43339e-09		3.12374e-10	-3.12374e-10	9.27558e-07	6.69277e-16	9.20911e-07	5.70189e-06
map-data-2025.06.06-11.56.16.356_0772.jpk-force	772	-1.58189e-06	2.16167e-05	2.43549e-09		3.22090e-10	-3.22090e-10	9.41064e-07	6.68669e-16	9.21479e-07	5.71166e-06
map-data-2025.06.06-11.56.16.356_0773.jpk-force	773	-8.00641e-07	2.16167e-05	2.43923e-09		2.98113e-10	-2.98113e-10	1.18422e-06	6.81704e-16	9.33305e-07	5.72472e-06
map-data-2025.06.06-11.56.16.356_0774.jpk-force	774	-1.93924e-08	2.16167e-05	2.43916e-09		1.12625e-08	-1.12625e-08	1.60553e-06	5.97850e-15	9.31413e-07	1.70497e-06
map-data-2025.06.06-11.56.16.356_0775.jpk-force	775	7.61859e-07	2.16167e-05	2.43944e-09		4.79417e-09	-4.79417e-09	4.25175e-06	6.43773e-15	2.01582e-06	4.25580e-06
map-data-2025.06.06-11.56.16.356_0776.jpk-force	776	1.54311e-06	2.16167e-05	2.44602e-09		3.27576e-09	-3.27576e-09	2.97809e-06	5.83843e-16	2.49253e-06	2.98140e-06
map-data-2025.06.06-11.56.16.356_0777.jpk-force	777	2.32436e-06	2.16167e-05	2.46047e-09		6.09073e-09	-6.09073e-09	4.78327e-06	8.56588e-15	2.72805e-06	5.04102e-06
map-data-2025.06.06-11.56.16.356_0778.jpk-force	778	3.10561e-06	2.16167e-05	2.46269e-09		2.10751e-09	-2.10751e-09	6.43753e-06	1.23139e-15	5.56463e-06	6.69659e-06
map-data-2025.06.06-11.56.16.356_0779.jpk-force	779	3.88686e-06	2.16167e-05	2.47709e-09		2.51690e-09	-2.51690e-09	1.03264e-05	2.89129e-15	8.61485e-06	1.34468e-05
map-data-2025.06.06-11.56.16.356_0780.jpk-force	780	4.66811e-06	2.16167e-05	2.52164e-09		3.03691e-10	-3.03691e-10	1.18777e-05	5.85234e-16	1.14653e-05	1.59610e-05
map-data-2025.06.06-11.56.16.356_0781.jpk-force	781	5.44936e-06	2.16167e-05	2.54132e-09		2.31812e-10	-2.31812e-10	1.28769e-05	3.69025e-16	1.28280e-05	1.61017e-05
map-data-2025.06.06-11.56.16.356_0782.jpk-force	782	6.23061e-06	2.16167e-05	2.54998e-09		4.35746e-10	-4.35746e-10	1.26101e-05	4.32103e-16	1.25868e-05	1.61568e-05
map-data-2025.06.06-11.56.16.356_0783.jpk-force	783	7.01186e-06	2.16167e-05	2.55448e-09		2.40846e-10	-2.40846e-10	1.21862e-05	5.04441e-16	1.21653e-05	1.61786e-05
map-data-2025.06.06-11.56.16.356_0784.jpk-force	784	7.79311e-06	2.16167e-05	2.55182e-09		6.36191e-10	-6.36191e-10	1.27091e-05	8.36785e-16	1.22827e-05	1.62006e-05
map-data-2025.06.06-11.56.16.356_0785.jpk-force	785	8.57436e-06	2.16167e-05	2.54974e-09		7.11364e-10	-7.11364e-10	1.20828e-05	5.69788e-16	1.20546e-05	1.62113e-05
map-data-2025.06.06-11.56.16.356_0786.jpk-force	786	9.35561e-06	2.16167e-05	2.55234e-09		4.15374e-10	-4.15374e-10	1.25421e-05	4.56237e-16	1.25239e-05	1.62286e-05
