Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Adhesion [N]	Minimum Value [N]	Minimum Position [m]	Area [J]	Lower Bound [m]	Upper Bound [m]
map-data-2025.06.06-11.56.16.356_0566.jpk-force	566	2.32436e-06	1.61480e-05	2.35226e-09		4.82140e-10	-4.82140e-10	6.02218e-06	9.67585e-16	5.71128e-06	1.00930e-05
map-data-2025.06.06-11.56.16.356_0567.jpk-force	567	1.54311e-06	1.61480e-05	2.49678e-09		2.33628e-09	-2.33628e-09	6.51812e-06	5.93914e-15	1.75467e-06	6.63809e-06
map-data-2025.06.06-11.56.16.356_0568.jpk-force	568	7.61859e-07	1.61480e-05	1.37035e-09		1.46758e-09	-1.46758e-09	7.52781e-06	7.93998e-16	6.53018e-06	7.52892e-06
map-data-2025.06.06-11.56.16.356_0569.jpk-force	569	-1.93924e-08	1.61480e-05	2.28514e-09		2.19270e-10	-2.19270e-10	2.80164e-06	6.45981e-16	1.18020e-06	5.73356e-06
map-data-2025.06.06-11.56.16.356_0570.jpk-force	570	-8.00641e-07	1.61480e-05	2.27689e-09		2.16616e-10	-2.16616e-10	1.88318e-06	6.25186e-16	1.07026e-06	5.71232e-06
map-data-2025.06.06-11.56.16.356_0571.jpk-force	571	-1.58189e-06	1.61480e-05	2.27272e-09		2.12675e-10	-2.12675e-10	3.41561e-06	5.98812e-16	1.16449e-06	5.69886e-06
map-data-2025.06.06-11.56.16.356_0572.jpk-force	572	-2.36314e-06	1.61480e-05	2.27462e-09		2.12820e-10	-2.12820e-10	3.30011e-06	4.92459e-16	1.84465e-06	5.68060e-06
map-data-2025.06.06-11.56.16.356_0573.jpk-force	573	-3.14439e-06	1.61480e-05	2.31245e-09		9.91638e-10	-9.91638e-10	9.17245e-07	4.76981e-16	2.47723e-06	5.66904e-06
map-data-2025.06.06-11.56.16.356_0574.jpk-force	574	-3.92564e-06	1.61480e-05	2.34967e-09		2.65880e-10	-2.65880e-10	5.58384e-06	5.04543e-16	2.50800e-06	5.65288e-06
map-data-2025.06.06-11.56.16.356_0575.jpk-force	575	-4.70689e-06	1.61480e-05	2.30387e-09		2.32735e-10	-2.32735e-10	4.51518e-06	3.42057e-16	2.94062e-06	5.65168e-06
map-data-2025.06.06-11.56.16.356_0576.jpk-force	576	-4.70689e-06	1.69292e-05	2.27711e-09		4.24908e-10	-4.24908e-10	9.18073e-07	6.84146e-16	8.52789e-07	5.64534e-06
